GAME_ID,SEASON_ID,PLAYER_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,NAME,HOME,OPP,OPP_ID
0021900001,22019,1629638,2019-10-22,NOP @ TOR,L,12,1,10,0.1,1,7,0.143,0,0,0.0,1,3,4,2,2,0,1,2,3,6,1,Nickeil Alexander-Walker,0,TOR,1610612761
0021900021,22019,1629638,2019-10-25,NOP vs. DAL,L,15,2,9,0.222,2,5,0.4,0,0,0.0,0,1,1,6,0,0,1,1,6,7,1,Nickeil Alexander-Walker,1,DAL,1610612742
0021900032,22019,1629638,2019-10-26,NOP @ HOU,L,12,1,4,0.25,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,2,2,-3,1,Nickeil Alexander-Walker,0,HOU,1610612745
0021900047,22019,1629638,2019-10-28,NOP vs. GSW,L,24,6,11,0.545,2,4,0.5,1,2,0.5,0,4,4,9,1,0,1,2,15,6,1,Nickeil Alexander-Walker,1,GSW,1610612744
0021900067,22019,1629638,2019-10-31,NOP vs. DEN,W,12,0,5,0.0,0,3,0.0,0,0,0.0,1,4,5,3,0,0,0,2,0,5,1,Nickeil Alexander-Walker,1,DEN,1610612743
0021900077,22019,1629638,2019-11-02,NOP @ OKC,L,8,1,5,0.2,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,2,4,-6,1,Nickeil Alexander-Walker,0,OKC,1610612760
0021900092,22019,1629638,2019-11-04,NOP @ BKN,L,4,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,Nickeil Alexander-Walker,0,BKN,1610612751
0021900121,22019,1629638,2019-11-08,NOP vs. TOR,L,16,4,8,0.5,3,5,0.6,2,2,1.0,0,2,2,4,0,0,2,2,13,5,1,Nickeil Alexander-Walker,1,TOR,1610612761
0021900128,22019,1629638,2019-11-09,NOP @ CHA,W,8,2,4,0.5,1,2,0.5,0,0,0.0,0,2,2,0,0,0,5,2,5,-6,1,Nickeil Alexander-Walker,0,CHA,1610612766
0021900142,22019,1629638,2019-11-11,NOP vs. HOU,L,11,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,0,1,0,2,2,2,-9,1,Nickeil Alexander-Walker,1,HOU,1610612745
0021900164,22019,1629638,2019-11-14,NOP vs. LAC,W,21,0,6,0.0,0,2,0.0,2,2,1.0,0,2,2,3,0,2,1,2,2,12,1,Nickeil Alexander-Walker,1,LAC,1610612746
0021900178,22019,1629638,2019-11-16,NOP @ MIA,L,30,10,18,0.556,6,9,0.667,1,2,0.5,0,4,4,3,0,0,3,1,27,-6,1,Nickeil Alexander-Walker,0,MIA,1610612748
0021900187,22019,1629638,2019-11-17,NOP vs. GSW,W,35,7,18,0.389,5,13,0.385,0,0,0.0,0,5,5,4,1,0,1,4,19,0,1,Nickeil Alexander-Walker,1,GSW,1610612744
0021900199,22019,1629638,2019-11-19,NOP vs. POR,W,16,1,6,0.167,1,4,0.25,0,0,0.0,0,4,4,1,0,0,2,2,3,5,1,Nickeil Alexander-Walker,1,POR,1610612757
0021900214,22019,1629638,2019-11-21,NOP @ PHX,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,Nickeil Alexander-Walker,0,PHX,1610612756
0021900239,22019,1629638,2019-11-24,NOP @ LAC,L,3,0,2,0.0,0,2,0.0,2,4,0.5,0,1,1,1,0,0,0,0,2,-7,1,Nickeil Alexander-Walker,0,LAC,1610612746
0021900302,22019,1629638,2019-12-03,NOP vs. DAL,L,12,3,9,0.333,1,4,0.25,0,0,0.0,1,2,3,0,0,0,0,0,7,-12,1,Nickeil Alexander-Walker,1,DAL,1610612742
0021900319,22019,1629638,2019-12-05,NOP vs. PHX,L,11,3,8,0.375,1,4,0.25,0,0,0.0,0,2,2,1,1,0,1,0,7,3,1,Nickeil Alexander-Walker,1,PHX,1610612756
0021900330,22019,1629638,2019-12-07,NOP @ DAL,L,21,3,10,0.3,0,4,0.0,1,2,0.5,1,3,4,2,1,0,2,0,7,-22,1,Nickeil Alexander-Walker,0,DAL,1610612742
