GAME_ID,SEASON_ID,PLAYER_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,HOME,OPP,OPP_ID,NAME
0021800009,22018,1629026,2018-10-17,NOP @ HOU,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,0,HOU,1610612745,
0021800075,22018,1629026,2018-10-27,NOP vs. UTA,L,13,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,3,0,14,1,1,UTA,1610612762,
0021800116,22018,1629026,2018-11-01,NOP @ POR,L,3,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,5,4,1,0,POR,1610612757,
0021800159,22018,1629026,2018-11-07,NOP vs. CHI,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,CHI,1610612741,
0021800176,22018,1629026,2018-11-10,NOP vs. PHX,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,3,0,-2,1,1,PHX,1610612756,
0021800312,22018,1629026,2018-11-28,NOP vs. WAS,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,1,WAS,1610612764,
0021800393,22018,1629026,2018-12-10,NOP @ BOS,L,3,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,1,0,BOS,1610612738,
0021800462,22018,1629026,2018-12-19,NOP @ MIL,L,7,1,3,0.333,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,2,-6,1,0,MIL,1610612749,
0021800478,22018,1629026,2018-12-21,NOP @ LAL,L,11,1,3,0.333,0,0,0.0,0,0,0.0,0,3,3,0,1,0,1,2,2,2,1,0,LAL,1610612747,
0021800528,22018,1629026,2018-12-29,NOP vs. HOU,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-2,1,1,HOU,1610612745,
0021800595,22018,1629026,2019-01-07,NOP vs. MEM,W,9,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,2,0,-3,1,1,MEM,1610612763,
