GAME_ID,SEASON_ID,PLAYER_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,NAME,HOME,OPP,OPP_ID
0021900001,22019,1629740,2019-10-22,NOP @ TOR,L,20,5,7,0.714,4,5,0.8,0,0,0.0,2,3,5,2,0,0,2,1,14,11,1,Nicolo Melli,0,TOR,1610612761
0021900021,22019,1629740,2019-10-25,NOP vs. DAL,L,14,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,1,0,0,1,3,4,4,1,Nicolo Melli,1,DAL,1610612742
0021900032,22019,1629740,2019-10-26,NOP @ HOU,L,11,4,6,0.667,0,1,0.0,2,3,0.667,0,2,2,1,0,0,1,3,10,2,1,Nicolo Melli,0,HOU,1610612745
0021900047,22019,1629740,2019-10-28,NOP vs. GSW,L,12,1,4,0.25,0,2,0.0,0,1,0.0,1,1,2,1,0,0,0,1,2,-6,1,Nicolo Melli,1,GSW,1610612744
0021900067,22019,1629740,2019-10-31,NOP vs. DEN,W,19,2,5,0.4,1,4,0.25,2,2,1.0,0,4,4,2,1,1,1,1,7,10,1,Nicolo Melli,1,DEN,1610612743
0021900077,22019,1629740,2019-11-02,NOP @ OKC,L,10,1,2,0.5,0,1,0.0,2,2,1.0,0,2,2,0,0,0,1,1,4,-12,1,Nicolo Melli,0,OKC,1610612760
0021900121,22019,1629740,2019-11-08,NOP vs. TOR,L,10,0,2,0.0,0,2,0.0,2,2,1.0,0,0,0,0,0,1,1,2,2,-7,1,Nicolo Melli,1,TOR,1610612761
0021900128,22019,1629740,2019-11-09,NOP @ CHA,W,5,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,3,0,0,-11,1,Nicolo Melli,0,CHA,1610612766
0021900164,22019,1629740,2019-11-14,NOP vs. LAC,W,17,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,3,0,-4,1,Nicolo Melli,1,LAC,1610612746
0021900178,22019,1629740,2019-11-16,NOP @ MIA,L,28,3,9,0.333,3,7,0.429,1,2,0.5,1,4,5,3,3,0,1,2,10,-4,1,Nicolo Melli,0,MIA,1610612748
0021900187,22019,1629740,2019-11-17,NOP vs. GSW,W,27,5,8,0.625,5,7,0.714,1,1,1.0,0,5,5,3,0,0,1,5,16,-2,1,Nicolo Melli,1,GSW,1610612744
0021900199,22019,1629740,2019-11-19,NOP vs. POR,W,27,4,10,0.4,1,6,0.167,5,5,1.0,4,2,6,4,3,0,0,3,14,1,1,Nicolo Melli,1,POR,1610612757
0021900214,22019,1629740,2019-11-21,NOP @ PHX,W,21,3,4,0.75,2,3,0.667,1,2,0.5,1,4,5,3,1,0,0,2,9,-10,1,Nicolo Melli,0,PHX,1610612756
0021900234,22019,1629740,2019-11-23,NOP @ UTA,L,16,2,3,0.667,2,2,1.0,0,0,0.0,0,3,3,0,0,0,0,1,6,5,1,Nicolo Melli,0,UTA,1610612762
0021900239,22019,1629740,2019-11-24,NOP @ LAC,L,17,2,6,0.333,1,5,0.2,0,0,0.0,0,3,3,0,0,0,0,2,5,-20,1,Nicolo Melli,0,LAC,1610612746
0021900264,22019,1629740,2019-11-27,NOP vs. LAL,L,9,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,1,0,1,0,-12,1,Nicolo Melli,1,LAL,1610612747
0021900275,22019,1629740,2019-11-29,NOP @ OKC,L,11,0,4,0.0,0,4,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-4,1,Nicolo Melli,0,OKC,1610612760
0021900289,22019,1629740,2019-12-01,NOP vs. OKC,L,15,2,8,0.25,2,6,0.333,0,0,0.0,0,0,0,0,0,0,1,2,6,-8,1,Nicolo Melli,1,OKC,1610612760
0021900302,22019,1629740,2019-12-03,NOP vs. DAL,L,22,3,7,0.429,1,4,0.25,0,0,0.0,2,6,8,2,1,1,2,3,7,-9,1,Nicolo Melli,1,DAL,1610612742
0021900319,22019,1629740,2019-12-05,NOP vs. PHX,L,16,1,3,0.333,0,2,0.0,1,2,0.5,0,1,1,0,2,0,1,2,3,-10,1,Nicolo Melli,1,PHX,1610612756
0021900330,22019,1629740,2019-12-07,NOP @ DAL,L,9,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,-9,1,Nicolo Melli,0,DAL,1610612742
