GAME_ID,SEASON_ID,PLAYER_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,NAME,HOME,OPP,OPP_ID
0021200008,22012,203076,2012-10-31,NOH vs. SAS,L,29,6,12,0.5,0,0,0.0,9,9,1.0,3,4,7,0,1,1,0,0,21,-20,1,Anthony Davis,1,SAS,1610612759
0021200021,22012,203076,2012-11-02,NOH vs. UTA,W,14,4,6,0.667,0,0,0.0,0,0,0.0,2,4,6,0,1,2,1,0,8,6,1,Anthony Davis,1,UTA,1610612762
0021200074,22012,203076,2012-11-09,NOH vs. CHA,W,37,9,18,0.5,0,1,0.0,5,9,0.556,4,7,11,2,2,5,1,2,23,3,0,Anthony Davis,1,CHA,1610612766
0021200112,22012,203076,2012-11-14,NOH @ HOU,L,29,2,7,0.286,0,0,0.0,4,4,1.0,2,2,4,1,2,3,1,4,8,7,1,Anthony Davis,0,HOU,1610612745
0021200125,22012,203076,2012-11-16,NOH vs. OKC,L,29,4,14,0.286,0,1,0.0,0,0,0.0,5,6,11,1,0,2,2,1,8,-19,1,Anthony Davis,1,OKC,1610612760
0021200136,22012,203076,2012-11-17,NOH @ MIL,L,32,10,13,0.769,0,0,0.0,8,9,0.889,4,7,11,1,0,0,4,4,28,-17,1,Anthony Davis,0,MIL,1610612749
0021200307,22012,203076,2012-12-11,NOH vs. WAS,L,25,5,10,0.5,0,0,0.0,3,3,1.0,2,6,8,0,3,3,2,5,13,-7,1,Anthony Davis,1,WAS,1610612764
0021200318,22012,203076,2012-12-12,NOH @ OKC,L,28,3,8,0.375,0,0,0.0,5,6,0.833,0,4,4,0,1,1,2,2,11,-13,1,Anthony Davis,0,OKC,1610612760
0021200331,22012,203076,2012-12-14,NOH vs. MIN,L,28,4,5,0.8,0,0,0.0,3,5,0.6,0,7,7,2,1,3,3,2,11,3,1,Anthony Davis,1,MIN,1610612750
0021200349,22012,203076,2012-12-16,NOH @ POR,L,34,5,10,0.5,0,0,0.0,5,6,0.833,1,4,5,1,0,1,2,1,15,4,1,Anthony Davis,0,POR,1610612757
