GAME_ID,SEASON_ID,PLAYER_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,NAME,HOME,OPP,OPP_ID
0021600013,22016,1627742,2016-10-26,LAL vs. HOU,W,24,4,6,0.667,1,2,0.5,0,0,0.0,0,3,3,0,0,0,1,0,9,10,1,Brandon Ingram,1,HOU,1610612745
0021600024,22016,1627742,2016-10-28,LAL @ UTA,L,4,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,3,1,Brandon Ingram,0,UTA,1610612762
0021600040,22016,1627742,2016-10-30,LAL @ OKC,L,21,3,10,0.3,0,3,0.0,3,4,0.75,1,4,5,2,1,0,1,1,9,-6,1,Brandon Ingram,0,OKC,1610612760
0021600048,22016,1627742,2016-11-01,LAL @ IND,L,15,1,4,0.25,0,2,0.0,0,0,0.0,0,3,3,1,0,0,1,2,2,-3,1,Brandon Ingram,0,IND,1610612754
0021600059,22016,1627742,2016-11-02,LAL @ ATL,W,22,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,2,0,1,2,2,3,-3,1,Brandon Ingram,0,ATL,1610612737
0021600078,22016,1627742,2016-11-04,LAL vs. GSW,W,27,2,8,0.25,0,4,0.0,8,9,0.889,2,4,6,3,2,0,2,2,12,23,1,Brandon Ingram,1,GSW,1610612744
0021600092,22016,1627742,2016-11-06,LAL vs. PHX,W,25,2,7,0.286,1,2,0.5,4,6,0.667,0,2,2,1,1,1,0,1,9,10,1,Brandon Ingram,1,PHX,1610612756
0021600104,22016,1627742,2016-11-08,LAL vs. DAL,L,26,2,5,0.4,1,2,0.5,0,0,0.0,0,4,4,1,1,1,1,1,5,-12,1,Brandon Ingram,1,DAL,1610612742
0021600120,22016,1627742,2016-11-10,LAL @ SAC,W,28,2,5,0.4,0,1,0.0,0,2,0.0,1,5,6,2,0,0,2,2,4,13,1,Brandon Ingram,0,SAC,1610612758
0021600129,22016,1627742,2016-11-12,LAL @ NOP,W,22,4,7,0.571,0,0,0.0,2,3,0.667,0,0,0,4,1,0,0,1,10,9,1,Brandon Ingram,0,NOP,1610612740
0021600142,22016,1627742,2016-11-13,LAL @ MIN,L,27,3,5,0.6,1,2,0.5,3,4,0.75,0,1,1,1,1,1,1,4,10,-7,1,Brandon Ingram,0,MIN,1610612750
0021600157,22016,1627742,2016-11-15,LAL vs. BKN,W,24,2,5,0.4,0,1,0.0,4,4,1.0,0,3,3,0,0,2,1,1,8,-12,1,Brandon Ingram,1,BKN,1610612751
0021600182,22016,1627742,2016-11-18,LAL vs. SAS,L,27,1,9,0.111,0,3,0.0,2,2,1.0,1,4,5,2,1,0,1,2,4,3,1,Brandon Ingram,1,SAS,1610612759
0021600198,22016,1627742,2016-11-20,LAL vs. CHI,L,20,3,6,0.5,0,0,0.0,1,2,0.5,1,3,4,3,0,0,1,2,7,3,1,Brandon Ingram,1,CHI,1610612741
0021600211,22016,1627742,2016-11-22,LAL vs. OKC,W,25,4,6,0.667,3,3,1.0,0,0,0.0,0,2,2,3,0,0,4,1,11,6,1,Brandon Ingram,1,OKC,1610612760
0021600223,22016,1627742,2016-11-23,LAL @ GSW,L,34,6,12,0.5,2,4,0.5,2,2,1.0,0,3,3,1,0,0,3,0,16,-30,1,Brandon Ingram,0,GSW,1610612744
0021600238,22016,1627742,2016-11-25,LAL vs. GSW,L,39,3,18,0.167,0,4,0.0,2,2,1.0,1,8,9,2,2,1,3,1,8,-19,1,Brandon Ingram,1,GSW,1610612744
0021600252,22016,1627742,2016-11-27,LAL vs. ATL,W,29,3,10,0.3,1,2,0.5,0,0,0.0,0,8,8,0,0,0,1,3,7,12,1,Brandon Ingram,1,ATL,1610612737
0021600263,22016,1627742,2016-11-29,LAL @ NOP,L,29,4,10,0.4,1,3,0.333,0,1,0.0,0,3,3,5,2,1,1,1,9,0,1,Brandon Ingram,0,NOP,1610612740
0021600269,22016,1627742,2016-11-30,LAL @ CHI,W,41,1,9,0.111,0,2,0.0,6,8,0.75,0,3,3,3,2,1,1,3,8,14,1,Brandon Ingram,0,CHI,1610612741
0021600284,22016,1627742,2016-12-02,LAL @ TOR,L,35,8,16,0.5,1,5,0.2,0,0,0.0,1,5,6,2,0,0,1,3,17,-24,1,Brandon Ingram,0,TOR,1610612761
0021600295,22016,1627742,2016-12-03,LAL @ MEM,L,39,2,5,0.4,1,2,0.5,4,4,1.0,1,4,5,1,0,3,5,0,9,-9,1,Brandon Ingram,0,MEM,1610612763
0021600313,22016,1627742,2016-12-05,LAL vs. UTA,L,25,1,6,0.167,0,1,0.0,2,2,1.0,0,2,2,2,0,1,1,3,4,-8,1,Brandon Ingram,1,UTA,1610612762
0021600326,22016,1627742,2016-12-07,LAL @ HOU,L,33,5,13,0.385,2,4,0.5,0,2,0.0,3,4,7,1,1,1,5,4,12,-31,1,Brandon Ingram,0,HOU,1610612745
0021600344,22016,1627742,2016-12-09,LAL vs. PHX,L,31,3,8,0.375,1,2,0.5,2,4,0.5,2,5,7,3,0,0,0,1,9,-5,1,Brandon Ingram,1,PHX,1610612756
0021600360,22016,1627742,2016-12-11,LAL vs. NYK,L,26,1,8,0.125,1,3,0.333,0,0,0.0,0,2,2,2,0,0,0,6,3,-8,1,Brandon Ingram,1,NYK,1610612752
0021600367,22016,1627742,2016-12-12,LAL @ SAC,L,26,2,7,0.286,0,1,0.0,1,2,0.5,1,4,5,2,0,0,0,2,5,-23,1,Brandon Ingram,0,SAC,1610612758
0021600378,22016,1627742,2016-12-14,LAL @ BKN,L,26,3,9,0.333,0,2,0.0,3,6,0.5,0,1,1,1,0,0,0,0,9,-17,1,Brandon Ingram,0,BKN,1610612751
0021600396,22016,1627742,2016-12-16,LAL @ PHI,W,21,1,8,0.125,0,2,0.0,0,0,0.0,1,2,3,1,0,0,2,1,2,-7,1,Brandon Ingram,0,PHI,1610612755
0021600402,22016,1627742,2016-12-17,LAL @ CLE,L,41,4,10,0.4,1,5,0.2,0,0,0.0,2,8,10,9,0,0,2,1,9,1,1,Brandon Ingram,0,CLE,1610612739
0021600419,22016,1627742,2016-12-20,LAL @ CHA,L,28,2,4,0.5,0,1,0.0,0,0,0.0,1,3,4,3,0,0,0,3,4,10,1,Brandon Ingram,0,CHA,1610612766
0021600439,22016,1627742,2016-12-22,LAL @ MIA,L,35,2,7,0.286,0,2,0.0,0,2,0.0,4,4,8,2,0,0,1,3,4,2,1,Brandon Ingram,0,MIA,1610612748
0021600443,22016,1627742,2016-12-23,LAL @ ORL,L,23,3,9,0.333,0,2,0.0,3,3,1.0,1,2,3,2,0,0,1,4,9,-15,1,Brandon Ingram,0,ORL,1610612753
0021600460,22016,1627742,2016-12-25,LAL vs. LAC,W,28,3,8,0.375,0,1,0.0,4,5,0.8,1,5,6,0,0,0,1,3,10,-1,1,Brandon Ingram,1,LAC,1610612746
0021600475,22016,1627742,2016-12-27,LAL vs. UTA,L,31,2,5,0.4,0,0,0.0,1,2,0.5,0,2,2,2,0,0,2,4,5,4,1,Brandon Ingram,1,UTA,1610612762
0021600491,22016,1627742,2016-12-29,LAL vs. DAL,L,32,1,5,0.2,0,1,0.0,1,2,0.5,1,5,6,1,0,0,0,3,3,-14,1,Brandon Ingram,1,DAL,1610612742
0021600512,22016,1627742,2017-01-01,LAL vs. TOR,L,26,2,7,0.286,0,3,0.0,2,2,1.0,1,2,3,2,0,0,0,2,6,0,1,Brandon Ingram,1,TOR,1610612761
