GAME_ID,SEASON_ID,PLAYER_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,HOME,OPP,OPP_ID,NAME
0021800009,22018,1628402,2018-10-17,NOP @ HOU,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,0,HOU,1610612745,
0021800022,22018,1628402,2018-10-19,NOP vs. SAC,W,6,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,2,0,0,0,0,5,-3,1,1,SAC,1610612758,
0021800075,22018,1628402,2018-10-27,NOP vs. UTA,L,23,3,9,0.333,1,4,0.25,7,9,0.778,0,0,0,2,0,0,0,2,14,-1,1,1,UTA,1610612762,
0021800095,22018,1628402,2018-10-29,NOP @ DEN,L,26,4,8,0.5,2,2,1.0,0,0,0.0,0,2,2,1,1,0,0,2,10,2,1,0,DEN,1610612743,
0021800108,22018,1628402,2018-10-31,NOP @ GSW,L,18,1,7,0.143,1,4,0.25,0,0,0.0,0,0,0,0,1,0,1,4,3,-7,1,0,GSW,1610612744,
0021800116,22018,1628402,2018-11-01,NOP @ POR,L,12,1,5,0.2,0,3,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,3,1,0,POR,1610612757,
0021800130,22018,1628402,2018-11-03,NOP @ SAS,L,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,SAS,1610612759,
0021800176,22018,1628402,2018-11-10,NOP vs. PHX,W,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,1,3,-3,1,1,PHX,1610612756,
0021800222,22018,1628402,2018-11-16,NOP vs. NYK,W,12,2,3,0.667,1,2,0.5,1,2,0.5,0,1,1,0,0,0,3,2,6,-2,1,1,NYK,1610612752,
0021800228,22018,1628402,2018-11-17,NOP vs. DEN,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,3,1,1,DEN,1610612743,
0021800246,22018,1628402,2018-11-19,NOP vs. SAS,W,24,5,11,0.455,1,4,0.25,1,1,1.0,1,0,1,1,0,0,1,4,12,12,1,1,SAS,1610612759,
0021800253,22018,1628402,2018-11-21,NOP @ PHI,L,13,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,1,2,4,1,0,PHI,1610612755,
0021800269,22018,1628402,2018-11-23,NOP @ NYK,L,11,1,4,0.25,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,3,2,-2,1,0,NYK,1610612752,
0021800280,22018,1628402,2018-11-24,NOP @ WAS,L,21,2,9,0.222,0,3,0.0,1,2,0.5,0,1,1,1,0,0,1,1,5,-3,1,0,WAS,1610612764,
0021800298,22018,1628402,2018-11-26,NOP vs. BOS,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-10,1,1,BOS,1610612738,
0021800411,22018,1628402,2018-12-12,NOP vs. OKC,W,19,3,5,0.6,1,1,1.0,1,2,0.5,0,0,0,0,0,0,1,2,8,9,1,1,OKC,1610612760,
0021800441,22018,1628402,2018-12-16,NOP vs. MIA,L,5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,MIA,1610612748,
0021800462,22018,1628402,2018-12-19,NOP @ MIL,L,18,3,5,0.6,2,2,1.0,0,0,0.0,0,2,2,0,0,0,0,1,8,-10,1,0,MIL,1610612749,
0021800478,22018,1628402,2018-12-21,NOP @ LAL,L,10,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,LAL,1610612747,
0021800492,22018,1628402,2018-12-23,NOP @ SAC,L,14,1,3,0.333,0,1,0.0,2,2,1.0,0,2,2,1,0,0,2,1,4,2,1,0,SAC,1610612758,
0021800509,22018,1628402,2018-12-26,NOP @ DAL,L,14,4,5,0.8,2,2,1.0,0,0,0.0,0,1,1,2,0,0,1,3,10,-5,1,0,DAL,1610612742,
0021800523,22018,1628402,2018-12-28,NOP vs. DAL,W,9,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,1,5,0,1,1,DAL,1610612742,
0021800528,22018,1628402,2018-12-29,NOP vs. HOU,L,10,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-21,1,1,HOU,1610612745,
0021800557,22018,1628402,2019-01-02,NOP @ BKN,L,5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-9,1,0,BKN,1610612751,
0021800579,22018,1628402,2019-01-05,NOP @ CLE,W,19,3,8,0.375,0,2,0.0,0,0,0.0,1,4,5,3,1,0,1,3,6,9,1,0,CLE,1610612739,
0021800595,22018,1628402,2019-01-07,NOP vs. MEM,W,19,7,10,0.7,3,5,0.6,0,0,0.0,0,0,0,1,1,0,0,0,17,7,1,1,MEM,1610612763,
0021800612,22018,1628402,2019-01-09,NOP vs. CLE,W,19,4,5,0.8,4,4,1.0,7,7,1.0,0,1,1,1,0,0,1,2,19,-3,1,1,CLE,1610612739,
0021800633,22018,1628402,2019-01-12,NOP @ MIN,L,15,2,4,0.5,0,1,0.0,0,0,0.0,0,2,2,0,2,0,0,1,4,-4,1,0,MIN,1610612750,
0021800650,22018,1628402,2019-01-14,NOP @ LAC,W,15,1,2,0.5,0,1,0.0,1,2,0.5,1,0,1,2,0,0,0,1,3,-10,2,0,LAC,1610612746,
0021800663,22018,1628402,2019-01-16,NOP @ GSW,L,5,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,1,0,GSW,1610612744,
0021800677,22018,1628402,2019-01-18,NOP @ POR,L,12,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,1,1,0,0,0,2,-10,1,0,POR,1610612757,
0021800697,22018,1628402,2019-01-21,NOP @ MEM,W,16,1,2,0.5,1,1,1.0,0,0,0.0,0,4,4,1,0,0,0,3,3,18,1,0,MEM,1610612763,
0021800714,22018,1628402,2019-01-23,NOP vs. DET,L,16,4,5,0.8,0,1,0.0,0,0,0.0,0,3,3,2,0,0,1,1,8,9,1,1,DET,1610612765,
0021800717,22018,1628402,2019-01-24,NOP @ OKC,L,26,6,13,0.462,0,5,0.0,0,0,0.0,0,1,1,2,0,0,2,3,12,12,1,0,OKC,1610612760,
0021800730,22018,1628402,2019-01-26,NOP vs. SAS,L,27,6,14,0.429,1,5,0.2,2,4,0.5,1,2,3,4,2,0,0,3,15,-3,1,1,SAS,1610612759,
0021800753,22018,1628402,2019-01-29,NOP @ HOU,W,23,4,11,0.364,0,4,0.0,2,2,1.0,2,5,7,1,1,0,2,0,10,-4,1,0,HOU,1610612745,
0021800761,22018,1628402,2019-01-30,NOP vs. DEN,L,22,4,9,0.444,1,2,0.5,0,0,0.0,1,5,6,0,0,0,2,0,9,-4,1,1,DEN,1610612743,
0021800779,22018,1628402,2019-02-02,NOP @ SAS,L,42,10,20,0.5,1,7,0.143,4,4,1.0,0,2,2,2,0,0,0,2,25,1,1,0,SAS,1610612759,
0021800793,22018,1628402,2019-02-04,NOP vs. IND,L,23,2,7,0.286,1,3,0.333,0,0,0.0,0,2,2,2,0,0,1,0,5,1,1,1,IND,1610612754,
0021800805,22018,1628402,2019-02-06,NOP @ CHI,W,18,3,8,0.375,1,3,0.333,0,0,0.0,4,1,5,2,0,1,2,2,7,-3,1,0,CHI,1610612741,
0021800823,22018,1628402,2019-02-08,NOP vs. MIN,W,21,2,4,0.5,0,1,0.0,0,0,0.0,0,3,3,2,2,0,0,2,4,-18,1,1,MIN,1610612750,
0021800831,22018,1628402,2019-02-09,NOP @ MEM,L,26,3,12,0.25,0,3,0.0,0,0,0.0,1,2,3,0,1,0,0,2,6,11,1,0,MEM,1610612763,
0021800851,22018,1628402,2019-02-12,NOP vs. ORL,L,12,2,7,0.286,0,3,0.0,2,3,0.667,0,1,1,0,0,0,1,0,6,-16,1,1,ORL,1610612753,
0021800866,22018,1628402,2019-02-14,NOP vs. OKC,W,10,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,3,0,0,0,1,2,-2,1,1,OKC,1610612760,
0021800874,22018,1628402,2019-02-22,NOP @ IND,L,27,3,10,0.3,0,4,0.0,2,4,0.5,0,0,0,2,0,0,0,2,8,-15,1,0,IND,1610612754,
0021800887,22018,1628402,2019-02-23,NOP vs. LAL,W,25,2,10,0.2,1,6,0.167,0,0,0.0,1,5,6,0,0,0,0,3,5,11,1,1,LAL,1610612747,
0021800906,22018,1628402,2019-02-25,NOP vs. PHI,L,19,2,8,0.25,0,1,0.0,0,0,0.0,2,4,6,0,2,0,1,0,4,3,1,1,PHI,1610612755,
0021800921,22018,1628402,2019-02-27,NOP @ LAL,L,29,7,10,0.7,1,3,0.333,0,0,0.0,1,3,4,2,1,0,0,0,15,-8,1,0,LAL,1610612747,
0021800932,22018,1628402,2019-03-01,NOP @ PHX,W,25,3,6,0.5,3,3,1.0,0,0,0.0,0,5,5,0,1,0,3,1,9,13,1,0,PHX,1610612756,
0021800941,22018,1628402,2019-03-02,NOP @ DEN,W,26,6,10,0.6,2,4,0.5,2,2,1.0,0,7,7,2,0,0,2,1,16,6,1,0,DEN,1610612743,
