GAME_ID,SEASON_ID,PLAYER_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,NAME,HOME,OPP,OPP_ID
0021100001,22011,202734,2011-12-25,BOS @ NYK,L,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,E'Twaun Moore,0,NYK,1610612752
0021100028,22011,202734,2011-12-28,BOS @ NOH,L,8,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-4,0,E'Twaun Moore,0,NOH,0
0021100041,22011,202734,2011-12-30,BOS vs. DET,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-7,0,E'Twaun Moore,1,DET,1610612765
0021100057,22011,202734,2012-01-01,BOS @ WAS,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-5,0,E'Twaun Moore,0,WAS,1610612764
0021100084,22011,202734,2012-01-04,BOS vs. NJN,W,6,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,5,-1,0,E'Twaun Moore,1,NJN,0
0021100162,22011,202734,2012-01-13,BOS vs. CHI,L,1,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,4,0,E'Twaun Moore,1,CHI,1610612741
0021100173,22011,202734,2012-01-14,BOS @ IND,L,20,3,7,0.429,1,3,0.333,0,0,0.0,0,2,2,3,2,0,1,1,7,-5,0,E'Twaun Moore,0,IND,1610612754
0021100192,22011,202734,2012-01-16,BOS vs. OKC,L,8,0,4,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-3,0,E'Twaun Moore,1,OKC,1610612760
0021100205,22011,202734,2012-01-18,BOS vs. TOR,W,17,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,3,1,0,0,4,0,-7,0,E'Twaun Moore,1,TOR,1610612761
0021100219,22011,202734,2012-01-20,BOS vs. PHX,L,12,1,6,0.167,0,2,0.0,0,0,0.0,0,0,0,2,0,0,3,1,2,-8,0,E'Twaun Moore,1,PHX,1610612756
0021100237,22011,202734,2012-01-22,BOS @ WAS,W,7,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,1,0,2,0,-8,0,E'Twaun Moore,0,WAS,1610612764
0021100243,22011,202734,2012-01-23,BOS vs. ORL,W,19,2,7,0.286,0,4,0.0,2,2,1.0,0,0,0,3,1,1,1,1,6,12,0,E'Twaun Moore,1,ORL,1610612753
0021100270,22011,202734,2012-01-26,BOS @ ORL,W,18,5,6,0.833,4,4,1.0,2,2,1.0,1,2,3,0,0,1,0,2,16,27,0,E'Twaun Moore,0,ORL,1610612753
0021100273,22011,202734,2012-01-27,BOS vs. IND,W,16,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,1,1,0,2,2,4,3,0,E'Twaun Moore,1,IND,1610612754
0021100292,22011,202734,2012-01-29,BOS vs. CLE,L,20,2,5,0.4,0,0,0.0,0,0,0.0,0,2,2,3,0,0,0,4,4,3,0,E'Twaun Moore,1,CLE,1610612739
0021100309,22011,202734,2012-01-31,BOS @ CLE,W,11,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,0,0,0,2,1,5,1,0,E'Twaun Moore,0,CLE,1610612739
0021100317,22011,202734,2012-02-01,BOS vs. TOR,W,22,3,8,0.375,1,3,0.333,1,1,1.0,1,1,2,3,0,0,1,1,8,9,0,E'Twaun Moore,1,TOR,1610612761
0021100355,22011,202734,2012-02-05,BOS vs. MEM,W,4,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,-3,0,E'Twaun Moore,1,MEM,1610612763
0021100368,22011,202734,2012-02-07,BOS vs. CHA,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,0,E'Twaun Moore,1,CHA,1610612766
0021100384,22011,202734,2012-02-09,BOS vs. LAL,L,9,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-7,0,E'Twaun Moore,1,LAL,1610612747
0021100462,22011,202734,2012-02-19,BOS @ DET,L,4,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,2,3,0,E'Twaun Moore,0,DET,1610612765
0021100474,22011,202734,2012-02-20,BOS @ DAL,L,7,2,5,0.4,2,4,0.5,0,0,0.0,0,0,0,1,0,0,0,0,6,8,0,E'Twaun Moore,0,DAL,1610612742
0021100490,22011,202734,2012-02-22,BOS @ OKC,L,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,0,E'Twaun Moore,0,OKC,1610612760
0021100529,22011,202734,2012-03-02,BOS vs. NJN,W,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-7,0,E'Twaun Moore,1,NJN,0
0021100586,22011,202734,2012-03-09,BOS vs. POR,W,5,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,5,-3,0,E'Twaun Moore,1,POR,1610612757
0021100694,22011,202734,2012-03-22,BOS @ MIL,W,1,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,0,E'Twaun Moore,0,MIL,1610612749
0021100705,22011,202734,2012-03-23,BOS @ PHI,L,4,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,2,0,E'Twaun Moore,0,PHI,1610612755
0021100721,22011,202734,2012-03-25,BOS vs. WAS,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-8,0,E'Twaun Moore,1,WAS,1610612764
0021100765,22011,202734,2012-03-30,BOS @ MIN,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,4,0,E'Twaun Moore,0,MIN,1610612750
0021100778,22011,202734,2012-04-01,BOS vs. MIA,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,E'Twaun Moore,1,MIA,1610612748
0021100836,22011,202734,2012-04-08,BOS vs. PHI,W,4,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,2,0,E'Twaun Moore,1,PHI,1610612755
0021100888,22011,202734,2012-04-14,BOS @ NJN,W,4,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,5,-5,0,E'Twaun Moore,0,NJN,0
0021100895,22011,202734,2012-04-15,BOS @ CHA,W,1,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,E'Twaun Moore,0,CHA,1610612766
0021100915,22011,202734,2012-04-17,BOS @ NYK,L,1,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,E'Twaun Moore,0,NYK,1610612752
0021100924,22011,202734,2012-04-18,BOS vs. ORL,W,13,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,1,5,9,0,E'Twaun Moore,1,ORL,1610612753
0021100938,22011,202734,2012-04-20,BOS @ ATL,L,19,1,5,0.2,1,4,0.25,2,2,1.0,0,4,4,1,1,0,2,2,5,11,0,E'Twaun Moore,0,ATL,1610612737
0021100967,22011,202734,2012-04-24,BOS vs. MIA,W,24,3,6,0.5,1,2,0.5,0,0,0.0,0,7,7,1,0,0,1,2,7,13,0,E'Twaun Moore,1,MIA,1610612748
0021100979,22011,202734,2012-04-26,BOS vs. MIL,W,25,3,10,0.3,2,4,0.5,0,0,0.0,0,4,4,5,3,0,6,3,8,12,0,E'Twaun Moore,1,MIL,1610612749
0021200016,22012,202734,2012-11-02,ORL vs. DEN,W,25,6,10,0.6,1,3,0.333,0,0,0.0,2,3,5,3,0,1,1,2,13,18,1,E'Twaun Moore,1,DEN,1610612743
0021200039,22012,202734,2012-11-04,ORL vs. PHX,W,38,6,11,0.545,3,3,1.0,0,0,0.0,2,1,3,6,3,0,3,2,15,15,1,E'Twaun Moore,1,PHX,1610612756
0021200050,22012,202734,2012-11-06,ORL @ CHI,L,33,7,13,0.538,3,4,0.75,0,0,0.0,3,2,5,2,0,0,1,4,17,-4,1,E'Twaun Moore,0,CHI,1610612741
0021200060,22012,202734,2012-11-07,ORL @ MIN,L,36,4,14,0.286,0,3,0.0,2,4,0.5,2,3,5,5,1,0,4,0,10,-16,1,E'Twaun Moore,0,MIN,1610612750
0021200069,22012,202734,2012-11-09,ORL vs. BKN,L,40,7,15,0.467,4,6,0.667,0,0,0.0,1,3,4,5,0,0,6,3,18,-19,1,E'Twaun Moore,1,BKN,1610612751
0021200090,22012,202734,2012-11-11,ORL @ BKN,L,41,3,11,0.273,1,5,0.2,1,2,0.5,1,1,2,1,0,0,4,4,8,-8,1,E'Twaun Moore,0,BKN,1610612751
0021200104,22012,202734,2012-11-13,ORL vs. NYK,L,39,5,14,0.357,2,6,0.333,0,0,0.0,0,3,3,8,0,1,0,0,12,-5,1,E'Twaun Moore,1,NYK,1610612752
0021200123,22012,202734,2012-11-16,ORL @ DET,W,18,3,6,0.5,0,1,0.0,0,0,0.0,0,1,1,4,0,0,1,1,6,-2,1,E'Twaun Moore,0,DET,1610612765
0021200140,22012,202734,2012-11-18,ORL @ TOR,L,28,5,11,0.455,2,5,0.4,4,4,1.0,0,1,1,4,0,0,4,3,16,-9,1,E'Twaun Moore,0,TOR,1610612761
0021200149,22012,202734,2012-11-19,ORL @ ATL,L,29,4,12,0.333,0,2,0.0,0,0,0.0,1,2,3,4,0,2,7,3,8,-6,1,E'Twaun Moore,0,ATL,1610612737
0021200158,22012,202734,2012-11-21,ORL vs. DET,W,12,1,4,0.25,1,1,1.0,0,0,0.0,0,1,1,2,0,1,1,2,3,-6,1,E'Twaun Moore,1,DET,1610612765
0021200172,22012,202734,2012-11-23,ORL vs. CLE,W,16,3,4,0.75,1,2,0.5,0,0,0.0,0,3,3,1,1,0,1,1,7,-7,1,E'Twaun Moore,1,CLE,1610612739
0021200195,22012,202734,2012-11-25,ORL vs. BOS,L,18,2,4,0.5,2,3,0.667,2,2,1.0,0,1,1,2,1,0,4,0,8,1,1,E'Twaun Moore,1,BOS,1610612738
0021200210,22012,202734,2012-11-28,ORL vs. SAS,L,22,5,13,0.385,0,3,0.0,1,2,0.5,1,2,3,1,0,0,2,2,11,-26,1,E'Twaun Moore,1,SAS,1610612759
0021200224,22012,202734,2012-11-30,ORL vs. BKN,L,31,6,10,0.6,1,3,0.333,0,0,0.0,1,3,4,4,0,0,0,1,13,-18,1,E'Twaun Moore,1,BKN,1610612751
0021200244,22012,202734,2012-12-02,ORL @ LAL,W,9,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,2,-9,1,E'Twaun Moore,0,LAL,1610612747
0021200250,22012,202734,2012-12-03,ORL @ GSW,W,15,1,6,0.167,1,4,0.25,0,0,0.0,0,0,0,1,0,0,0,3,3,6,1,E'Twaun Moore,0,GSW,1610612744
0021200265,22012,202734,2012-12-05,ORL @ UTA,L,9,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,0,1,1,1,0,2,-6,1,E'Twaun Moore,0,UTA,1610612762
0021200281,22012,202734,2012-12-07,ORL @ SAC,L,12,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,0,2,1,1,E'Twaun Moore,0,SAC,1610612758
0021200296,22012,202734,2012-12-09,ORL @ PHX,W,25,4,8,0.5,1,2,0.5,1,2,0.5,1,2,3,3,0,0,1,1,10,13,1,E'Twaun Moore,0,PHX,1610612756
0021200310,22012,202734,2012-12-12,ORL vs. ATL,L,22,4,7,0.571,1,3,0.333,2,2,1.0,1,0,1,4,1,1,1,1,11,7,1,E'Twaun Moore,1,ATL,1610612737
0021200330,22012,202734,2012-12-14,ORL vs. GSW,W,25,6,11,0.545,3,5,0.6,0,0,0.0,0,0,0,5,0,0,0,3,15,12,1,E'Twaun Moore,1,GSW,1610612744
0021200336,22012,202734,2012-12-15,ORL @ CHA,W,22,3,9,0.333,0,2,0.0,0,0,0.0,2,0,2,5,1,2,1,2,6,0,1,E'Twaun Moore,0,CHA,1610612766
0021200350,22012,202734,2012-12-17,ORL vs. MIN,W,13,1,3,0.333,1,2,0.5,0,0,0.0,0,2,2,2,0,0,2,2,3,12,1,E'Twaun Moore,1,MIN,1610612750
0021200368,22012,202734,2012-12-19,ORL vs. WAS,W,20,6,10,0.6,3,5,0.6,0,0,0.0,1,0,1,2,2,0,1,0,15,1,1,E'Twaun Moore,1,WAS,1610612764
0021200380,22012,202734,2012-12-21,ORL @ TOR,L,22,6,11,0.545,0,3,0.0,0,0,0.0,1,2,3,1,0,0,1,2,12,-2,1,E'Twaun Moore,0,TOR,1610612761
