GAME_ID,SEASON_ID,PLAYER_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,HOME,OPP,OPP_ID,NAME
0021900047,22019,1629637,2019-10-28,NOP vs. GSW,L,24,9,11,0.818,0,1,0.0,1,3,0.333,1,2,3,1,1,1,0,3,19,0,1,1,GSW,1610612744,
0021900067,22019,1629637,2019-10-31,NOP vs. DEN,W,9,2,2,1.0,0,0,0.0,1,2,0.5,0,2,2,0,0,0,1,4,5,-4,1,1,DEN,1610612743,
0021900077,22019,1629637,2019-11-02,NOP @ OKC,L,14,2,5,0.4,0,0,0.0,0,0,0.0,4,1,5,3,1,0,0,5,4,-4,1,0,OKC,1610612760,
0021900092,22019,1629637,2019-11-04,NOP @ BKN,L,16,0,3,0.0,0,1,0.0,3,3,1.0,3,2,5,1,2,0,2,6,3,12,1,0,BKN,1610612751,
0021900121,22019,1629637,2019-11-08,NOP vs. TOR,L,15,2,3,0.667,0,0,0.0,0,3,0.0,1,5,6,0,0,1,0,1,4,5,1,1,TOR,1610612761,
0021900128,22019,1629637,2019-11-09,NOP @ CHA,W,18,3,3,1.0,0,0,0.0,3,4,0.75,0,1,1,0,0,2,0,2,9,-2,1,0,CHA,1610612766,
0021900142,22019,1629637,2019-11-11,NOP vs. HOU,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,-5,1,1,HOU,1610612745,
0021900164,22019,1629637,2019-11-14,NOP vs. LAC,W,13,3,6,0.5,0,0,0.0,3,4,0.75,2,1,3,1,1,0,0,4,9,-8,1,1,LAC,1610612746,
0021900178,22019,1629637,2019-11-16,NOP @ MIA,L,24,6,6,1.0,0,0,0.0,0,0,0.0,2,1,3,0,1,2,3,1,12,4,1,0,MIA,1610612748,
0021900187,22019,1629637,2019-11-17,NOP vs. GSW,W,32,3,5,0.6,0,0,0.0,4,6,0.667,2,8,10,0,1,3,2,2,10,12,1,1,GSW,1610612744,
0021900199,22019,1629637,2019-11-19,NOP vs. POR,W,21,3,8,0.375,0,0,0.0,3,4,0.75,4,3,7,0,2,3,0,2,9,10,1,1,POR,1610612757,
0021900214,22019,1629637,2019-11-21,NOP @ PHX,W,21,3,5,0.6,0,0,0.0,1,2,0.5,2,2,4,0,1,1,0,5,7,21,1,0,PHX,1610612756,
0021900234,22019,1629637,2019-11-23,NOP @ UTA,L,30,5,9,0.556,0,0,0.0,3,3,1.0,2,3,5,1,0,1,2,5,13,-6,1,0,UTA,1610612762,
0021900239,22019,1629637,2019-11-24,NOP @ LAC,L,29,3,5,0.6,0,0,0.0,1,4,0.25,1,2,3,3,0,0,1,5,7,1,1,0,LAC,1610612746,
0021900264,22019,1629637,2019-11-27,NOP vs. LAL,L,21,2,4,0.5,0,0,0.0,3,4,0.75,3,1,4,1,1,1,3,5,7,5,1,1,LAL,1610612747,
0021900275,22019,1629637,2019-11-29,NOP @ OKC,L,21,5,9,0.556,0,0,0.0,1,2,0.5,5,2,7,0,2,0,1,0,11,-17,1,0,OKC,1610612760,
0021900289,22019,1629637,2019-12-01,NOP vs. OKC,L,26,3,6,0.5,0,0,0.0,3,3,1.0,1,6,7,1,1,2,0,2,9,12,1,1,OKC,1610612760,
0021900302,22019,1629637,2019-12-03,NOP vs. DAL,L,26,4,5,0.8,0,0,0.0,1,2,0.5,2,6,8,0,0,0,1,4,9,-11,1,1,DAL,1610612742,
0021900319,22019,1629637,2019-12-05,NOP vs. PHX,L,33,6,8,0.75,0,0,0.0,5,7,0.714,4,1,5,1,0,5,1,5,17,5,1,1,PHX,1610612756,Jaxson Hayes
