GAME_ID,SEASON_ID,PLAYER_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,HOME,OPP,OPP_ID,NAME
0021500005,22015,1626143,2015-10-28,PHI @ BOS,L,38,10,16,0.625,0,0,0.0,6,6,1.0,4,3,7,1,1,2,8,4,26,-9,1,0,BOS,1610612738,
0021500023,22015,1626143,2015-10-30,PHI vs. UTA,L,36,4,12,0.333,0,0,0.0,2,4,0.5,1,5,6,1,1,0,2,3,10,-35,1,1,UTA,1610612762,
0021500046,22015,1626143,2015-11-02,PHI vs. CLE,L,27,11,21,0.524,0,0,0.0,2,3,0.667,2,1,3,0,0,0,1,4,24,-15,1,1,CLE,1610612739,
0021500065,22015,1626143,2015-11-04,PHI @ MIL,L,35,9,13,0.692,0,0,0.0,3,3,1.0,1,5,6,0,0,2,2,3,21,-4,1,0,MIL,1610612749,
0021500078,22015,1626143,2015-11-06,PHI @ CLE,L,37,8,17,0.471,0,0,0.0,2,3,0.667,1,5,6,3,0,0,2,3,18,-13,1,0,CLE,1610612739,
0021500087,22015,1626143,2015-11-07,PHI vs. ORL,L,33,7,14,0.5,0,0,0.0,5,10,0.5,2,3,5,3,0,3,3,2,19,-6,1,1,ORL,1610612753,
0021500100,22015,1626143,2015-11-09,PHI vs. CHI,L,31,9,25,0.36,0,0,0.0,3,8,0.375,6,9,15,1,0,2,1,2,21,-22,1,1,CHI,1610612741,
0021500115,22015,1626143,2015-11-11,PHI vs. TOR,L,33,13,22,0.591,0,0,0.0,0,2,0.0,2,5,7,1,0,4,4,5,26,-20,1,1,TOR,1610612761,
0021500134,22015,1626143,2015-11-13,PHI @ OKC,L,30,3,18,0.167,0,0,0.0,0,0,0.0,3,3,6,2,0,3,4,3,6,-16,1,0,OKC,1610612760,
0021500142,22015,1626143,2015-11-14,PHI @ SAS,L,39,9,17,0.529,0,0,0.0,3,3,1.0,3,9,12,2,0,2,2,3,21,2,1,0,SAS,1610612759,
0021500152,22015,1626143,2015-11-16,PHI vs. DAL,L,33,8,15,0.533,0,0,0.0,3,3,1.0,2,9,11,1,1,2,4,5,19,-13,1,1,DAL,1610612742,
0021500167,22015,1626143,2015-11-18,PHI vs. IND,L,31,6,11,0.545,0,0,0.0,2,4,0.5,1,5,6,0,1,0,3,1,14,-30,1,1,IND,1610612754,
0021500178,22015,1626143,2015-11-20,PHI @ CHA,L,30,4,12,0.333,0,0,0.0,2,3,0.667,2,5,7,2,0,0,3,0,10,-9,1,0,CHA,1610612766,
