,Unnamed: 0,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,name
21,13,200826,2019-20,0,1610612742,DAL,35.0,3,0,44.0,13,25,0.52,7,10,0.7,2,2,1.0,1,3,4,6,2,1,4,1,35,J.J. Barea
22,9,203084,2019-20,0,1610612758,SAC,27.0,17,17,586.0,93,187,0.49700000000000005,27,68,0.397,58,74,0.784,18,67,85,36,16,4,22,23,271,Harrison Barnes
23,0,1629628,2019-20,0,1610612752,NYK,19.0,17,17,565.0,97,240,0.40399999999999997,19,57,0.33299999999999996,45,89,0.506,22,73,95,61,25,7,47,43,258,RJ Barrett
24,9,203115,2019-20,0,1610612743,DEN,28.0,14,14,451.0,81,176,0.46,28,62,0.452,27,36,0.75,27,71,98,47,13,7,18,29,217,Will Barton
25,1,1628966,2019-20,0,1610612750,MIN,23.0,7,0,125.0,23,41,0.561,11,24,0.45799999999999996,5,8,0.625,5,14,19,2,3,4,3,8,62,Keita Bates-Diop
26,11,201587,2019-20,0,1610612766,CHA,30.0,8,0,185.0,11,27,0.40700000000000003,7,21,0.33299999999999996,5,5,1.0,7,31,38,31,5,5,13,16,34,Nicolas Batum
27,7,203382,2019-20,0,1610612756,PHX,32.0,12,11,288.0,64,114,0.561,23,52,0.442,23,32,0.7190000000000001,18,49,67,37,4,9,13,47,174,Aron Baynes
28,9,203145,2019-20,0,1610612757,POR,30.0,19,2,433.0,47,141,0.33299999999999996,22,67,0.32799999999999996,26,34,0.765,8,76,84,37,16,14,28,58,142,Kent Bazemore
29,0,1629647,2019-20,0,1610612760,OKC,19.0,17,0,295.0,29,67,0.433,13,35,0.371,8,14,0.5710000000000001,7,57,64,9,6,7,14,16,79,Darius Bazley
30,7,203078,2019-20,0,1610612764,WAS,26.0,16,16,592.0,165,347,0.47600000000000003,47,133,0.353,86,105,0.8190000000000001,15,55,70,112,15,4,52,41,463,Bradley Beal
31,3,1627736,2019-20,0,1610612743,DEN,23.0,12,0,183.0,27,70,0.386,15,35,0.429,5,5,1.0,4,15,19,12,7,2,15,16,74,Malik Beasley
32,14,201158,2019-20,0,1610612759,SAS,33.0,18,0,293.0,32,111,0.28800000000000003,16,54,0.29600000000000004,10,16,0.625,1,25,26,28,5,0,9,14,90,Marco Belinelli
33,2,1628395,2019-20,0,1610612750,MIN,24.0,9,0,74.0,11,19,0.579,0,3,0.0,7,11,0.636,9,23,32,6,0,3,12,6,29,Jordan Bell
34,3,1627761,2019-20,0,1610612737,ATL,25.0,18,2,454.0,58,106,0.547,8,21,0.381,14,32,0.43799999999999994,17,57,74,53,28,7,30,40,138,DeAndre' Bembry
35,3,1627733,2019-20,0,1610612749,MIL,22.0,1,0,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,1,1,0,Dragan Bender
36,3,202722,2019-20,0,1610612764,WAS,27.0,16,0,441.0,70,154,0.455,54,122,0.44299999999999995,18,21,0.857,12,61,73,29,9,8,11,40,212,Davis Bertans
37,7,201976,2019-20,0,1610612746,LAC,31.0,17,17,507.0,47,128,0.36700000000000005,20,74,0.27,11,19,0.579,22,87,109,58,25,12,27,67,125,Patrick Beverley
38,2,203920,2019-20,0,1610612753,ORL,27.0,8,3,145.0,13,25,0.52,0,1,0.0,8,17,0.47100000000000003,11,18,29,2,2,1,3,17,34,Khem Birch
39,0,1629048,2019-20,0,1610612754,IND,20.0,12,2,189.0,26,53,0.491,4,11,0.364,14,19,0.737,16,30,46,14,1,18,9,28,70,Goga Bitadze
40,8,202687,2019-20,0,1610612766,CHA,27.0,17,2,264.0,52,82,0.634,0,0,0.0,32,57,0.561,24,41,65,12,6,12,9,34,136,Bismack Biyombo
41,4,202357,2019-20,0,1610612758,SAC,31.0,17,16,443.0,67,140,0.479,29,71,0.408,9,10,0.9,29,79,108,40,16,7,25,49,172,Nemanja Bjelica
42,11,202339,2019-20,0,1610612749,MIL,29.0,18,18,501.0,114,248,0.46,23,75,0.307,52,66,0.7879999999999999,19,74,93,99,15,7,41,49,303,Eric Bledsoe
43,2,203992,2019-20,0,1610612758,SAC,27.0,16,0,445.0,85,204,0.41700000000000004,46,117,0.39299999999999996,29,40,0.725,2,41,43,77,25,2,29,30,245,Bogdan Bogdanovic
44,7,202711,2019-20,0,1610612762,UTA,30.0,17,17,565.0,125,261,0.479,55,118,0.466,60,68,0.882,11,60,71,37,13,4,47,34,365,Bojan Bogdanovic
45,1,1628413,2019-20,0,1610612755,PHI,23.0,2,0,5.0,1,1,1.0,0,0,0.0,0,2,0.0,0,0,0,0,1,0,1,0,2,Jonah Bolden
46,0,1629648,2019-20,0,1610612765,DET,22.0,3,0,6.0,2,5,0.4,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,2,4,Jordan Bone
47,1,1629067,2019-20,0,1610612764,WAS,20.0,11,7,163.0,16,32,0.5,2,6,0.33299999999999996,6,9,0.667,7,21,28,13,7,2,6,22,40,Isaac Bonga
48,4,1626164,2019-20,0,1610612756,PHX,23.0,17,17,600.0,152,294,0.517,38,90,0.42200000000000004,81,85,0.953,7,54,61,106,9,6,71,55,423,Devin Booker
49,2,1628449,2019-20,0,1610612761,TOR,26.0,15,0,202.0,34,76,0.447,8,26,0.308,17,23,0.7390000000000001,37,39,76,9,5,13,6,26,93,Chris Boucher
50,0,1628968,2019-20,0,1610612754,IND,21.0,3,0,10.0,1,4,0.25,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,0,2,Brian Bowen II
51,0,1629065,2019-20,0,1610612744,GSW,22.0,19,6,421.0,67,142,0.47200000000000003,20,47,0.426,14,15,0.9329999999999999,8,35,43,49,19,2,19,36,168,Ky Bowman
52,13,202340,2019-20,0,1610612747,LAL,29.0,10,10,274.0,41,84,0.488,8,28,0.28600000000000003,6,8,0.75,7,25,32,18,10,1,11,26,96,Avery Bradley
53,2,1628396,2019-20,0,1610612762,UTA,21.0,13,2,142.0,27,41,0.659,0,0,0.0,9,14,0.643,19,31,50,4,2,7,7,26,63,Tony Bradley
54,0,1629714,2019-20,0,1610612762,UTA,23.0,1,0,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,1,0,0,0,Jarrell Brantley
55,0,1629649,2019-20,0,1610612752,NYK,20.0,5,0,24.0,3,10,0.3,0,2,0.0,2,2,1.0,1,0,1,1,0,1,2,2,8,Ignas Brazdeikis
56,1,1628969,2019-20,0,1610612756,PHX,23.0,17,0,340.0,33,76,0.434,5,26,0.192,24,29,0.828,13,48,61,18,25,5,8,28,95,Mikal Bridges
57,1,1628970,2019-20,0,1610612766,CHA,21.0,19,19,600.0,97,209,0.46399999999999997,30,85,0.353,18,24,0.75,23,77,100,37,11,14,32,37,242,Miles Bridges
58,0,1629052,2019-20,0,1610612761,TOR,21.0,3,0,13.0,1,3,0.33299999999999996,1,1,1.0,0,0,0.0,0,1,1,1,1,0,0,0,3,Oshae Brissett
59,1,1629151,2019-20,0,1610612742,DAL,29.0,4,0,25.0,4,8,0.5,4,5,0.8,0,0,0.0,0,5,5,3,1,0,1,1,12,Ryan Broekhoff
60,3,1627763,2019-20,0,1610612754,IND,26.0,14,14,432.0,99,209,0.474,20,61,0.32799999999999996,48,50,0.96,9,59,68,114,13,3,39,29,266,Malcolm Brogdon
61,2,1628415,2019-20,0,1610612763,MEM,23.0,17,17,465.0,78,200,0.39,29,77,0.377,32,38,0.8420000000000001,18,40,58,35,18,7,25,66,217,Dillon Brooks
